first_prev_rate,final_prev_rate,prev_rate_div,fn_div,fn_rate_first,fn_rate_final,fn_div_rate,real_fix_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,num_magic,not_vulnerable,still_vulnerable,num_magic_special,num_magic_special_1,ignored,TP2,FP2,TN2,FN2,through_fixer,vulnerable,not_vuln,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,ppv_value,npv_value,TPoutadj,FPoutadj,TNoutadj,FNoutadj,real_fix_rate_adj,Accuracy,Precision,Sensitivity
0.1,0.0142,0.142,err,0.0,0.0,err,0.858,1,1.0,0.9,0.9,0.0,20000,1937,18063,1937,18063,1937,1784,16279,0,1937,1784,1937,1784,199,19801,199,19801,3721,3337,384,0,0,16279,284,276,3161,0,3721,199,3522,0,0,0,0,284,276,19440,0,0.5263157894736842,1.0,294.7368421052631,265.2631578947369,19440.0,0.0,0.8526315789473684,0.9862,0.5071428571428571,1.0
0.1,0.01,0.09999999999999999,err,0.0,0.0,err,0.9,1,1.0,0.9,1,0.0,20000,1937,18063,1937,18063,1955,1810,16235,0,1937,1828,1937,1828,0,20000,0,20000,3765,3765,0,0,0,16235,200,189,3376,0,3765,0,3765,0,0,0,0,200,189,19611,0,0.5263157894736842,1.0,204.73684210526315,184.26315789473685,19611.0,0.0,0.8976315789473684,0.99055,0.5141388174807198,1.0
0.1,0.0336,0.33599999999999997,err,0.0,0.0,err,0.664,1,1.0,0.9,0.5,0.0,20000,1937,18063,1937,18063,1965,1832,16203,0,1937,1860,1937,1860,986,19014,986,19014,3797,1871,1926,0,0,16203,672,604,2521,0,3797,986,2811,0,0,0,0,672,604,18724,0,0.5263157894736842,1.0,671.578947368421,604.421052631579,18724.0,0.0,0.6642105263157895,0.9698,0.5266457680250783,1.0
0.1,0.0245,0.245,err,0.0,0.0,err,0.755,1,1.0,0.9,0.7,0.0,20000,1937,18063,1937,18063,1990,1752,16258,0,1937,1805,1937,1805,608,19392,608,19392,3742,2588,1154,0,0,16258,490,446,2806,0,3742,608,3134,0,0,0,0,490,446,19064,0,0.5263157894736842,1.0,492.6315789473684,443.3684210526316,19064.0,0.0,0.7536842105263158,0.9777,0.5235042735042735,1.0
0.1,0.0142,0.142,err,0.0,0.0,err,0.858,1,1.0,0.9,0.9,0.0,20000,1937,18063,1937,18063,1874,1793,16333,0,1937,1730,1937,1730,197,19803,197,19803,3667,3296,371,0,0,16333,284,267,3116,0,3667,197,3470,0,0,0,0,284,267,19449,0,0.5263157894736842,1.0,290.0,261.0,19449.0,0.0,0.855,0.98665,0.515426497277677,1.0
0.1,0.0097,0.097,err,0.0,0.0,err,0.903,1,1.0,0.9,1,0.0,20000,1937,18063,1937,18063,1978,1796,16226,0,1937,1837,1937,1837,0,20000,0,20000,3774,3774,0,0,0,16226,194,171,3409,0,3774,0,3774,0,0,0,0,194,171,19635,0,0.5263157894736842,1.0,192.10526315789474,172.89473684210526,19635.0,0.0,0.9039473684210526,0.99145,0.5315068493150685,1.0
0.1,0.03315,0.33149999999999996,err,0.0,0.0,err,0.6685000000000001,1,1.0,0.9,0.5,0.0,20000,1937,18063,1937,18063,1967,1813,16220,0,1937,1843,1937,1843,926,19074,926,19074,3780,1917,1863,0,0,16220,663,578,2539,0,3780,926,2854,0,0,0,0,663,578,18759,0,0.5263157894736842,1.0,653.1578947368421,587.8421052631579,18759.0,0.0,0.673421052631579,0.9711,0.5342465753424658,1.0
0.1,0.02225,0.22249999999999998,err,0.0,0.0,err,0.7775000000000001,1,1.0,0.9,0.7,0.0,20000,1937,18063,1937,18063,1919,1816,16265,0,1937,1798,1937,1798,537,19463,537,19463,3735,2636,1099,0,0,16265,445,427,2863,0,3735,537,3198,0,0,0,0,445,427,19128,0,0.5263157894736842,1.0,458.9473684210526,413.0526315789474,19128.0,0.0,0.7705263157894737,0.97865,0.5103211009174312,1.0
0.1,0.01415,0.1415,err,0.0,0.0,err,0.8585,1,1.0,0.9,0.9,0.0,20000,1937,18063,1937,18063,1938,1778,16284,0,1937,1779,1937,1779,198,19802,198,19802,3716,3347,369,0,0,16284,283,245,3188,0,3716,198,3518,0,0,0,0,283,245,19472,0,0.5263157894736842,1.0,277.89473684210526,250.10526315789474,19472.0,0.0,0.8610526315789474,0.98775,0.5359848484848485,1.0
0.1,0.00835,0.08349999999999999,err,0.0,0.0,err,0.9165,1,1.0,0.9,1,0.0,20000,1937,18063,1937,18063,1907,1779,16314,0,1937,1749,1937,1749,0,20000,0,20000,3686,3686,0,0,0,16314,167,147,3372,0,3686,0,3686,0,0,0,0,167,147,19686,0,0.5263157894736842,1.0,165.26315789473682,148.73684210526318,19686.0,0.0,0.9173684210526316,0.99265,0.5318471337579618,1.0
